Description	Price	Prime Product	URL	Stars	Reviews
Homall 200x80 CM scrivania regolabile in altezza, scrivania da ufficio con quattro sezioni, scrivania per computer con funzione di memoria.	281.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfYXRmX25leHQ6MzAwMjE2MTEwNDk0NDMyOjowOjo&url=%2FHomall-scrivania-regolabile-computer-funzione%2Fdp%2FB0CPPSLV43%2Fref%3Dsr_1_433_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-433-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	784
Acer Aspire 3 A315-24P-R8DK PC Portatile, Notebook, Processore AMD Ryzen 5 7520U, RAM 8 GB DDR5, 512 GB PCIe NVMe SSD, Display 15.6 FHD LED, Scheda Grafica AMD Radeon, Windows 11 Home, Silver	469.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfYXRmX25leHQ6MzAwMDI1Nzg1ODY5NTMyOjowOjo&url=%2FAcer-A315-24P-R8DK-Portatile-Notebook-Processore%2Fdp%2FB0BS6VX78Q%2Fref%3Dsr_1_434_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-434-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	592
GEEKOM AI Mini PC AE8 - AMD Ryzen 9 8945HS Processore(8 Cores/16 Threads, fino a 5,20GHz), DDR5 32GB+1TB SSD, AMD Radeon™ 780M (12 core), Mini PC Windows 11/Wi-FI 6E/Bluetooth 5.2/HDMI/USB4.0	879.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfYXRmX25leHQ6MzAwMzc5NTI2MTc2NzMyOjowOjo&url=%2FGEEKOM-AE8-Computer-processeur-Bluetooth%2Fdp%2FB0D22M9K64%2Fref%3Dsr_1_435_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-435-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	7
HP Computer Portatile 250 G8 CPU Intel Core i5 di Decima Generazione, 512gb SSD M.2, 16gb RAM DDR4, Windows 10 PRO Licenziato 2E9J9EA	549.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfYXRmX25leHQ6MzAwMDQ3NDU2NjA1MDMyOjowOjo&url=%2FPortatile-HP-Generazione-Licenziato-2E9J9EA%2Fdp%2FB08V21BTD3%2Fref%3Dsr_1_436_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-436-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	43
HUAWEI MateBook D16 Laptop, Display FullView da 16 Pollici, Processore Intel Core i5, 8GB di RAM, SSD da 512GB, Windows 11 Home, Case leggero da 1.68 kg, Grigio Spaziale, Versione Tedesca	524.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfbXRmOjMwMDEzNzQzNjA5NTkzMjo6MDo6&url=%2FHUAWEI-kg%25EF%25BC%258CProcessore-Intel%25C2%25AECoreTM-pollici%25EF%25BC%258CSuperCharge-capacit%25C3%25A0%25EF%25BC%258CSuperHub%2Fdp%2FB0CMW2FJ6D%2Fref%3Dsr_1_438_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-438-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	15
PC fisso Computer desktop - Intel Core I7 4770 - Ram 32 GB - SSD 1 TB - Intel HD 4600 - masterizzatore - Wi-Fi interno - Windows 11 Pro - HDMI -VGA - DVI - 6 x USB 2.0-3 x USB 3.0	516.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfbXRmOjMwMDIxNjIxNzE5NDQzMjo6MDo6&url=%2FPC-fisso-Computer-desktop-masterizzatore%2Fdp%2FB0BBWFCGFH%2Fref%3Dsr_1_439_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-439-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	268
HP Notebook G9 Intel i3-1215u 6 Core 4,4 Ghz 15,6 Full Hd, Ram 16Gb Ddr4, Ssd Nvme 756Gb M2, Hdmi, Usb 3.0, Wifi, Lan,Bluetooth, Webcam, Windows 11 Professional,Libre Office	479.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfbXRmOjMwMDM5MjY3ODEyOTgzMjo6MDo6&url=%2FNotebook-Portatile-Display-Masterizzatore-Bluetooth%2Fdp%2FB07SL6QKJZ%2Fref%3Dsr_1_440_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-440-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	39
Pc Completo fisso con monitor ricondizionato pacchetto office 2019 incluso intel i5 |8 GB | SSD 256 | Windows 10 Key WI-FI (Ricondizionato)	179.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfbXRmOjMwMDA5OTg3NTU1MTczMjo6MDo6&url=%2FPcRenewed-Completo-ricondizionato-pacchetto-Ricondizionato%2Fdp%2FB0C5MFBVKD%2Fref%3Dsr_1_441_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-441-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	5
HP Notebook NUOVO • CPU Intel i5 @ 2,8ghz • Monitor 15.6 • SSD nvme 128 GB + 1 TB HDD • Ram 20 GB • Sistema operativo WIN 11	499.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfbXRmOjMwMDM2MzU1ODc1OTczMjo6MDo6&url=%2FHP-Notebook-240-G8-203B4EA%2Fdp%2FB08W55DSKS%2Fref%3Dsr_1_442_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-442-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	196
EUREKA ERGONOMIC Scirvania Gaming LED 156 x 64 cm Ampia Scrivania Computer Scrivania PC Desktop in in Fibra di Carbonio con Tappetino per Mouse	279.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfbXRmOjIwMTQ1OTc4OTM1NTk4OjowOjo&url=%2FEUREKA-ERGONOMIC-Scrivania-controller-tappetino%2Fdp%2FB09P86TWJ7%2Fref%3Dsr_1_443_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-443-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	6121
